t[s],a[g]
10.22,0.1589553259
10.24,0.4049960722
10.26,0.6098001292
10.28,0.75954016
10.3,0.5799180205
10.32,0.1884722783
10.34,-0.06566675997
10.36,-0.06406777692
10.38,-0.1256307715
10.4,-0.08369380907
10.42,0.1568417062
10.44,0.1521985367
10.46,-0.03078353957
10.48,0.001101796142
10.5,0.168904403
10.52,0.1239778284
10.54,0.08271960712
10.56,0.1180430833
10.58,-0.0865971513
10.6,-0.1509697858
10.62,-0.1198884324
10.64,-0.07291379276
10.66,0.1190821093
10.68,-0.0238105746
10.7,-0.207629136
10.72,-0.0527434591
10.74,-0.1957679716
10.76,-0.2825048438
10.78,-0.06377916075
10.8,-0.02747242658
10.82,0.01722497748
10.84,0.01955843168
10.86,0.08525005748
10.88,0.3492499783
10.9,0.2349196453
10.92,0.0142480015
10.94,-0.076983004
10.96,-0.122024889
10.98,-0.2343302432
11.0,-0.3053510209
11.02,-0.2953146674
11.04,-0.4448771665
11.06,-0.5598885612
11.08,-0.5515383146
11.1,-0.3566867325
11.12,-0.1320550731
11.14,-0.1049733882
11.16,-0.01435415008
11.18,0.03171533813
11.2,-0.1796338224
11.22,-0.2422946956
11.24,-0.3477357249
11.26,-0.4433009733
11.28,-0.3400971974
11.3,-0.4228643367
11.32,-0.3976901777
11.34,-0.2154517448
11.36,-0.2166565331
11.38,-0.2175761193
11.4,-0.08948458219
11.42,0.09202173474
11.44,0.2820747563
11.46,0.4049248821
11.48,0.4014594874
11.5,0.3784164175
11.52,0.2703365792
11.54,-0.03591373133
11.56,-0.1480353185
11.58,-0.2811626694
11.6,-0.4684916639
11.62,-0.3084192386
11.64,-0.07983604929
11.66,0.105436896
11.68,0.398155466
11.7,0.4670875842
11.72,0.3747932656
11.74,0.2857467154
11.76,0.2905176684
11.78,0.3489182634
11.8,0.1776734215
11.82,0.0938980444
11.84,0.1429924837
11.86,0.1142976391
11.88,-0.04501041965
11.9,-0.2057766108
11.92,-0.1869249866
11.94,-0.283509214
11.96,-0.3483987945
11.98,-0.03582431391
12.0,0.04467673075
12.02,0.04910935685
12.04,0.1909997308
12.06,-0.01382471353
12.08,-0.05594894904
12.1,-0.07349047666
12.12,-0.3678423253
12.14,-0.2824773216
12.16,-0.1529163483
12.18,-0.1917349906
12.2,-0.1757810578
12.22,-0.2949473288
12.24,-0.3560471126
12.26,-0.2352675402
12.28,-0.2174176231
12.3,-0.06306213135
12.32,0.08526407719
12.34,0.1163914399
12.36,0.1186018844
12.38,0.04993154368
12.4,-0.0367214257
12.42,-0.02239919132
12.44,0.04479493816
12.46,0.04682517
12.48,-0.01428572299
12.5,-0.00241307687
12.52,-0.0545063914
12.54,-0.2065814566
12.56,-0.2425061154
12.58,-0.2890311487
12.6,-0.1832968463
12.62,0.01841904317
12.64,0.1298514482
12.66,0.380730732
12.68,0.3603394647
12.7,0.1435304393
12.72,0.1838210437
12.74,0.1397248954
12.76,0.06564266299
12.78,-0.03167622381
12.8,-0.1392318838
12.82,-0.07074660954
12.84,-0.1156917335
12.86,-0.1552137468
12.88,-0.01797730452
12.9,-0.005850444438
12.92,0.04037428269
12.94,0.07620415683
12.96,0.1045419753
12.98,0.1782157799
13.0,0.0967095556
13.02,-0.01745056073
13.04,-0.1198434154
13.06,-0.2575759189
13.08,-0.249231057
13.1,-0.2156490362
13.12,-0.1898520799
13.14,-0.1569532286
13.16,-0.1315466857
13.18,0.0224182792
13.2,0.1253737857
13.22,0.1553079375
13.24,0.249942698
13.26,0.1981533112
13.28,0.1899333645
13.3,0.2981497682
13.32,0.3141182981
13.34,0.3465810867
13.36,0.3963219576
13.38,0.2320942657
13.4,0.006875126727
13.42,-0.08704358462
13.44,-0.1836356122
13.46,-0.2274130009
13.48,-0.0788270137
13.5,0.09062451977
13.52,0.1524078713
13.54,0.1188957893
13.56,-0.02251875782
13.58,-0.05965985875
13.6,-0.008184758413
13.62,-0.005018615389
13.64,0.01672258493
13.66,0.1029406022
13.68,0.07802651854
13.7,0.01185948319
13.72,0.02959273481
13.74,0.04089604546
13.76,0.1853168239
13.78,0.4114113783
13.8,0.5010886688
13.82,0.5515217653
13.84,0.4769386872
13.86,0.3104760476
13.88,0.2057815613
13.9,0.04603964218
13.92,-0.02612365692
13.94,0.03261881223
13.96,0.08991066063
13.98,0.1683060546
14.0,0.0881434012
14.02,-0.1151524341
14.04,-0.2366764775
14.06,-0.3748226487
14.08,-0.4034543413
14.1,-0.2853827516
14.12,-0.1381186596
14.14,0.04093023837
14.16,0.1037234429
14.18,0.1361345881
14.2,0.08680951776
14.22,-0.03629283866
14.24,0.006971480692
14.26,0.06973085689
14.28,0.09394425121
14.3,0.09765944899
14.32,0.01484712878
14.34,-0.006380237429
14.36,-0.01838207634
14.38,-0.1514816724
14.4,-0.05703745073
14.42,0.1389502912
14.44,0.2034066536
14.46,0.317253646
14.48,0.2368890059
14.5,0.05231999967
14.52,0.02001715469
14.54,-0.1320308971
14.56,-0.1932801241
14.58,-0.1207568636
14.6,-0.2014938792
14.62,-0.1105423073
14.64,-0.05383952732
14.66,-0.1856582705
14.68,-0.141997824
14.7,-0.1695421176
14.72,-0.2045411687
14.74,-0.1171395902
14.76,-0.1580705333
14.78,-0.1777424335
14.8,-0.2075571493
14.82,-0.3287336162
14.84,-0.3176967018
14.86,-0.2234879389
14.88,-0.2153334806
14.9,-0.1452209955
14.92,-0.1246290024
14.94,-0.2502509094
14.96,-0.2624472107
14.98,-0.2267248396
15.0,-0.2410729305
15.02,-0.1408677566
15.04,-0.02655198295
15.06,0.03227596007
15.08,0.1588863508
15.1,0.158291485
15.12,0.1247611365
15.14,0.103462219
15.16,0.03454148565
15.18,0.02899322887
15.2,-0.0123156192
15.22,-0.05709360516
15.24,0.0458871491
15.26,0.08509941587
15.28,0.114643526
15.3,0.225639916
15.32,0.2517866348
15.34,0.2863770412
15.36,0.3770301915
15.38,0.3539857505
15.4,0.3123717268
15.42,0.3349610374
15.44,0.304322742
15.46,0.2703504437
15.48,0.2592840023
15.5,0.173320415
15.52,0.1525610592
15.54,0.156925549
15.56,0.1662995623
15.58,0.2228237702
15.6,0.2015561331
15.62,0.1993285797
15.64,0.2521641824
15.66,0.1338281617
15.68,0.02868784045
15.7,-0.01338349628
15.72,-0.05923150773
15.74,-0.01811252836
15.76,-0.06067789926
15.78,-0.1967097638
15.8,-0.247570389
15.82,-0.3498967278
15.84,-0.4175566135
15.86,-0.3524117389
15.88,-0.3023700528
15.9,-0.2102225843
15.92,-0.116315088
15.94,-0.1255517661
15.96,-0.09158744206
15.98,-0.0972678735
16.0,-0.151959895
16.02,-0.1938413813
16.04,-0.210571475
16.06,-0.1580754519
16.08,-0.1406424277
16.1,-0.1438108799
16.12,-0.08873871079
16.14,-0.09494918215
16.16,-0.07200481875
16.18,0.003475790665
16.2,0.06481120284
16.22,0.125929042
16.24,0.1117047842
16.26,0.06041559957
16.28,-0.003494565486
16.3,-0.1050766641
16.32,-0.111617148
16.34,-0.1146514866
16.36,-0.1411756459
16.38,-0.1406663483
16.4,-0.1643491526
16.42,-0.1941093314
16.44,-0.1616568007
16.46,-0.1068737316
16.48,-0.08182115931
16.5,-0.009986261963
16.52,0.01097721309
16.54,-0.0421487533
16.56,-0.00968551598
16.58,-0.07970384628
16.6,-0.1647823621
16.62,-0.1132931269
16.64,-0.1448469557
16.66,-0.1166823679
16.68,-0.06115192301
16.7,-0.1089363706
16.72,-0.116392974
16.74,-0.2242133024
16.76,-0.2807417788
16.78,-0.2363787213
16.8,-0.2498251214
16.82,-0.1910222941
16.84,-0.1761647541
16.86,-0.1615753302
16.88,-0.1091842989
16.9,-0.1887665673
16.92,-0.1903192396
16.94,-0.1845441217
16.96,-0.1863810637
16.98,-0.08096938115
17.0,-0.05369598662
17.02,0.05131507756
17.04,0.1478310149
17.06,0.1495963562
17.08,0.2604447169
17.1,0.301049177
17.12,0.3661951943
17.14,0.4747137265
17.16,0.4428562283
17.18,0.4293234366
17.2,0.4167353445
17.22,0.4009758383
17.24,0.4407062676
17.26,0.4401386089
17.28,0.440609656
17.3,0.4071052343
17.32,0.3694767978
17.34,0.3034511296
17.36,0.266062534
17.38,0.2612351518
17.4,0.1929398936
17.42,0.1631126224
17.44,0.1421885209
17.46,0.09675680212
17.48,0.1143665421
17.5,0.0857006807
