f[Hz],a[cm/s^2]
1.05999154,111.9952066
1.064968026,97.2894711
1.069944512,72.94385438
1.074920998,46.69775464
1.079897484,32.25731996
1.08487397,62.72719486
1.089850457,109.0072349
1.094826943,73.83073311
1.099803429,120.5471407
1.104779915,97.00823968
1.109756401,59.3989856
1.114732887,130.4425563
1.119709373,138.745018
1.124685859,110.0868134
1.129662345,155.3730728
1.134638832,183.8785499
1.139615318,153.1526548
1.144591804,280.8844403
1.14956829,228.8978197
1.154544776,73.55192613
1.159521262,71.62242912
1.164497748,106.711621
1.169474234,79.25193506
1.17445072,53.55761986
1.179427206,92.5304376
1.184403693,186.0625618
1.189380179,259.8520782
1.194356665,402.0380622
1.199333151,485.6203792
1.204309637,482.4791571
1.209286123,400.4779341
1.214262609,350.8201915
1.219239095,296.5780051
1.224215581,315.6952548
1.229192067,387.9443495
1.234168554,373.9039213
1.23914504,270.1326172
1.244121526,191.3684683
1.249098012,204.0272184
1.254074498,181.14935
1.259050984,193.0587175
1.26402747,223.756969
1.269003956,172.5272059
1.273980442,157.0344458
1.278956929,206.7523777
1.283933415,240.5260146
1.288909901,283.0913868
1.293886387,241.5334495
1.298862873,212.3017213
1.303839359,149.4277353
1.308815845,142.1236566
1.313792331,99.83166776
1.318768817,105.9833121
1.323745303,200.2248029
1.32872179,189.1981425
1.333698276,100.230801
1.338674762,60.76977004
1.343651248,70.4684202
1.348627734,154.6103837
1.35360422,154.4072467
1.358580706,186.5764281
1.363557192,165.1124141
1.368533678,189.0881126
1.373510164,276.2337639
1.378486651,301.5896047
1.383463137,314.7128019
1.388439623,350.393198
1.393416109,390.8832194
1.398392595,371.6177493
1.403369081,405.8844162
1.408345567,402.3030112
1.413322053,355.3510189
1.418298539,254.0128422
1.423275026,185.7067474
1.428251512,85.32072708
1.433227998,95.24499372
1.438204484,170.1061067
1.44318097,158.2906045
1.448157456,109.7429583
1.453133942,49.46849574
1.458110428,67.80829303
1.463086914,105.6067933
1.4680634,156.0592243
1.473039887,214.2640859
1.478016373,277.8116223
1.482992859,312.6606353
1.487969345,284.303132
1.492945831,300.9207657
1.497922317,295.4975569
1.502898803,268.0407012
1.507875289,244.8606917
1.512851775,250.7458987
1.517828261,226.7115039
1.522804748,228.5210056
1.527781234,151.3398783
1.53275772,59.95741207
